Drawing,Date,1st ball,2nd ball,3rd ball,4th ball,5th ball,6th ball
598,2004-09-15,5,16,53,38,50,34
599,2004-09-18,6,45,51,9,23,4
600,2004-09-22,18,39,54,34,31,16
601,2004-09-25,37,19,29,30,10,22
602,2004-09-29,38,60,13,7,55,46
603,2004-10-02,4,8,11,29,12,44
604,2004-10-06,41,49,51,25,15,46
605,2004-10-09,44,52,53,4,49,24
606,2004-10-13,41,6,23,55,32,35
607,2004-10-16,6,59,11,27,19,41
608,2004-10-20,30,6,37,19,24,13
609,2004-10-23,15,2,59,60,6,58
610,2004-10-27,25,49,30,43,47,45
611,2004-10-30,22,21,33,16,48,49
612,2004-11-03,55,33,15,50,53,18
613,2004-11-06,54,55,13,44,6,19
614,2004-11-10,60,31,12,48,57,16
615,2004-11-13,27,31,8,10,51,5
616,2004-11-17,24,16,26,54,12,2
617,2004-11-20,25,5,49,36,33,3
618,2004-11-24,60,10,3,8,24,13
619,2004-11-27,16,12,46,14,8,19
620,2004-12-01,22,1,29,13,32,3
621,2004-12-04,29,31,50,26,57,49
622,2004-12-08,59,27,19,29,50,38
623,2004-12-11,42,23,55,30,9,49
624,2004-12-15,39,23,34,52,8,43
625,2004-12-18,59,12,32,42,24,40
626,2004-12-22,49,8,22,18,7,39
627,2004-12-29,19,13,45,58,56,1
628,2005-01-05,8,16,22,56,58,30
629,2005-01-08,40,47,39,16,51,15
630,2005-01-12,16,53,20,60,12,45
631,2005-01-15,1,28,47,20,44,32
632,2005-01-19,2,54,48,51,19,28
633,2005-01-22,27,46,5,50,11,22
634,2005-01-26,13,41,24,42,10,56
635,2005-01-29,49,42,37,8,20,26
636,2005-02-02,30,32,34,50,28,26
637,2005-02-05,52,58,43,48,11,18
638,2005-02-12,42,10,50,41,11,36
639,2005-02-16,51,39,35,60,45,13
640,2005-02-19,12,42,59,46,19,60
641,2005-02-23,17,13,33,9,1,34
642,2005-02-26,51,17,56,36,44,40
643,2005-03-02,14,45,24,37,40,42
644,2005-03-05,57,29,31,27,34,14
645,2005-03-09,52,48,24,53,54,3
646,2005-03-12,13,47,60,32,49,10
647,2005-03-16,56,19,11,14,12,54
648,2005-03-19,5,48,23,42,45,29
649,2005-03-23,9,54,41,48,33,24
650,2005-03-26,53,59,25,29,10,24
651,2005-03-30,39,45,28,26,48,60
652,2005-04-02,24,18,57,56,10,20
653,2005-04-06,31,24,19,34,9,5
654,2005-04-09,10,11,56,40,41,6
655,2005-04-13,26,39,1,37,43,48
